,Synopsis
607,Pilot reports of being cleared for takeoff then hearing Tower cross an aircraft as they begin their takeoff roll.  Pilot rejects takeoff concerned not knowing where the crossing is taking place; either in front of or behind them.
1360,Line Mechanic performing an Aileron lube reports he noticed the extra flashlight he used was missing. After several attempts to stop the pushback; the aircraft returned to gate to allow removal of Mechanic's flashlight.
200,When the B737 Captain noted the left engine vibration indicator was blank during taxi out; he contacted maintenance who had him cycle the associated CB which returned the indicator to service. The Captain then insisted it was necessary to return to the gate and have the log book properly documented and signed off by licensed maintenance personnel.
370,While taxiing in after landing an instructor pilot and his multi-engine student lost control of their PA34 when the brakes failed; running off the taxiway and striking a sign.
2302,A DC10 ACFT ENCOUNTERED MODERATE TURB AT FL360. THE FLT CONDITIONS WERE SMOOTH UNTIL THE TURB WHEN THREE CREW MEMBERS AND TWO PAX WERE INJURED.
424,B737NG First Officer was concerned about difficulty encountered in retrieving braking action reports for pending landing at BOS. Feels wider and more accessible data is needed.
2838,AT FLT TERMINATION AT B737-700 CREW RPTED ACFT OK WITH NO RPTS. ACFT RECEIVED A ROUTINE OVERNIGHT CHK AND SIGNED OFF WITH NO DAMAGE FOUND. MORNING DEP FLT CREW RPTED ACFT DAMAGED.
2733,Air Carrier Captain experienced delays arriving JFK on a VFR day which resulted in a declaration of minimum fuel. Reporter believes that his company does not provide adequate fuel for normal delays into New York area airports.
2159,A B747-400 FLT CREW DEPARTING ON AN OVERWATER FLT EXPERIENCED AN EICAS MESSAGE 'GEAR DOOR'. THEY COMMUNICATED WITH DISPATCH AND MAINT AND DECIDED TO RETURN TO THEIR DEP ARPT.
1053,General aviation pilot descending VFR for FRG was notified by FRG tower that the aircraft data block indicated a possible Class B entry; reporter alleging no violation occurred and indicated N90 has recently refused Class B services.
1545,CRP Controller described a minimal separation event when using lateral separation between an arrival and departure aircraft. Observing Supervisor questioned the developing event and suggested the issuance of turns. The Controller discounted the recommendation.
2321,B747-400 STAB GREENBAND WARNING ILLUMINATES ON PUSHBACK. MAINTENANCE DEFERS NOSE GEAR SENSOR. ANOMALOUS AIRSPEED/PFD DATA ON LANDING CAUSES FLIGHT CREW TO SUSPECT AIRCRAFT WAS HEAVIER THAN ADVISED BY LOAD PLANNING AND THAT THE WARNING MAY HAVE BEEN ACCURATE.
1706,A FLIGHT INSTRUCTOR DISCOVERS THEIR BEECH BE-76 WAS MISSING A PLASTIC SPACER THAT HELPS IN SECURING THE SHOULDER STRAP TO THE LAP BELT. THIS SPACER ENSURES THE SHOULDER STRAP STAYS CONNECTED IN AN IMPACT SITUATION.
1100,EMB-145 Captain reported they did not receive localizer signal until 3 miles from the FAF. Reporter stated this was a common occurrence on this approach at EWR.
2871,AN MD80 ON VISUAL APCH TO DFW EXECUTED A GAR BECAUSE TWR CLRED AN ACFT TO CROSS THE RWY.
1337,A B757 flight crew reported a LE Slat EICAS message on short final; as flaps 30 was selected but flaps remained at 25. Because of the close proximity to the airport; flaps 25 was reselected; approach speed reset and the flight continued to a normal landing.
2343,B737 flight crew reported a split flap indication (25 and 30 degrees) with no rolling tendency and no flap asymmetry indication. A go-around was initiated and the flap lever was moved to 15 and the flaps both moved to 15. QRH procedures were accomplished and a flaps 15 landing ensued.
2355,B757 INITIATED TKOF ROLL FROM INTERSECTION; NOT UTILIZING FULL LENGTH; AS INTENDED.
473,SMO Developmental Tower Controller reported of issuing instructions to a helicopter. The aircraft did not fly as instructed and became a conflict for arrival traffic. Instructing Controller turned the helicopter to avoid the arrival. Arrival aircraft reported an RA and advised Tower they had the aircraft in sight.
2654,B767 FLT CREW ENCOUNTERS MODERATE TO SEVERE TURB DURING CLB.
11,MOONEY PILOT REPORTS ENCOUNTER WITH JET BLAST FROM SMALL JET WHILE WAITING TO DEPART MVY.
1092,During a preflight check on a B737; a First Officer noticed one of the Aileron Power Control Units hydraulic lines was rubbing on a bracket that supports the pivot points of both 'A' and 'B' systems in the left main gear forward wheel well.
1018,A Boeing 737 flight crew reported experiencing a hard landing due to an insufficient flare technique at touchdown. As a result; several injuries were reported.
1903,A B737NG FLT CREW FOUND DURING PREFLIGHT THEIR CREW OXYGEN BOTTLE SUPPLY VALVE WAS ONLY HALF OPEN. THEY HAD ALREADY FLOWN ONE LEG BECAUSE THE BOTTLE APPEARED TO CHECK NORMAL.
1129,Tower CIC described an over-take event resulting in a loss of separation. The reporter indicated the RADAR Controller failed to take into account several factors.
2447,CRJ-900 flight crew missed flaps set at 8 rather than the required flaps 20 until noted by the First Officer in the high speed segment of the takeoff. Judging that a rejected takeoff would be more dangerous than continuing the takeoff; the Captain set flaps to 20 and told the First Officer; pilot flying; to continue. Takeoff and climbout were normal.
101,A CRJ200'S NOSE GEAR FAILED TO EXTEND WHEN THE GEAR WERE SELECTED DOWN. AFTER A MISSED APCH THE GEAR EXTENDED BY ITSELF. AN EMER WAS DECLARED.
616,MD80 FLT CREW REJECTS TKOF WHEN THE R ENG FAILS.
584,CRJ FLT CREW CONQUERS LNDG GEAR EXTENSION FAILURE THEN FLIES FERRY FLT FOR MAINT WHICH RESULTS IN EXCESSIVE FUEL BURN.
2523,COMMUTER PLT ADVISES THE COMPANY FAILS TO PROVIDE TIMELY NOTAMS.
3013,ZNY CTLR EXPRESSED CONCERN REGARDING THE FUNCTIONALITY OF THE ATOPS EQUIP.
1313,A319 flight crew reports a late ATC assigned turn to final resulting in an overshoot into the approach path for the adjacent runway and a TCAS RA to avoid the traffic directly below. The Captain is able to comply with the RA; get back on course and land safely. A 50 knot direct crosswind at altitude was a large factor in the incident.
2314,General aviation pilot on a visual approach to CCR experiences a NMAC with a Cessna on downwind not reported by the Tower. When queried after parking; the Tower indicates that their Radar is 'spotty' in the southwest quadrant.
682,A C188 with a new hopper tank fuel pump made a safe off airport landing on a highway after the engine quit because of contaminated hopper tank fuel. After maintenance the aircraft was flown to a nearby airport.
2425,An ATR 72 took off with the tailstand attached after the ground crew showed a removed tailstand to the crew before engine start.
872,An EMB-145 CAS alerted both PITCH TRIM channels failed so an emergency was declared and the flight diverted. The crew had no autopilot; pitch trim or speedbrakes; and excessive back pressure was required to remain stable as they slowed to a very high Vref speed.
2142,BE33 pilot receives a green light gear up indication after retracting the gear on takeoff; but the mechanical nose gear indicator shows the nose gear down. Trouble shooting enroute and at the destination indicate that the mechanical indicator is stuck and a normal landing ensues.
1153,Two line mechanics reported they did not have enough time before the end of their shift to re-install a hubcap and complete the replacement of the #3 main landing gear (MLG) tire and brake assembly after an overweight inspection of the #3 MLG axle. A write-up was made to reinstall the hubcap on the B767 aircraft. They were informed the next day the #3 brake assembly had disintegrated on taxi due to a missing spacer.
332,A very experienced AG CAT pilot lost situational awareness during an agricultural spraying operation. He hit and broke several electrical power lines which he knew were there causing minimal aircraft damage.
1963,A B757 returned to its departure airport when the flight crew received and EICAS ELEV FEEL message.
1451,MD83 flight crew experienced an apparent dual hydraulic system failure shortly after takeoff. The gear does not completely retract and low or no pressure is noted on both systems. While talking to the company and troubleshooting; the right system returns to normal operation; the gear doors close and the flaps retract. The left system quantity goes to two quarts and the pressure remains at zero. The flight returns to departure airport for an uneventful landing. The left hydraulic transfer pump was replaced by Maintenance.
3075,EMB-145LR First Officer reported receiving a stick shaker after inadvertently entering a thunderstorm at FL360.
684,B767 flight crew reported loss of oil quantity from the left engine that resulted in a diversion.
2640,A Line Mechanic reports a specific job card and National Oceanic Atmospheric Administrative (NOAA) form had not been completed after replacing an Emergency Locator Transmitter (ELT) on a B757-200. The ELT Job Card and NOAA form were not included in the aircraft's Maintenance Work Package.
495,DHC8 First Officer reports his aircraft rolling forward as the Captain brings the condition levers out of feather after engine start. Normal braking is attempted to no avail and the emergency brake is used; stopping the aircraft abruptly and injuring the Flight Attendant.
44,A B737 CREW PROGRAMMED THE LAX RIIVR ONE RWY 25L. RWY 24R WAS ASSIGNED BUT CREW COULD NOT CHANGE THE FMS FAST ENOUGH AND GOT HIGH AND FAST.
2578,B737 flight crew missed an assigned crossing restriction during descent into TPA.  A late clearance and the distractions of weather and approach preparation were cited as contributing factors.
309,B737 flight crew reported a LAS Taxiway C incursion while taxiing around Concourse C on the ramp between Spots 11 and 10. A taxi line in that area would help maintain gate and taxiway clearance.
983,A Hatz CB-1 pilot ground looped his aircraft in a crosswind causing slight damage when the right wing impacted a fence.
219,A C208B pilot delayed the TKS System two minute functional checks until on approach and experienced immediate respiratory irritation. After landing additional symptoms included mild headache; nausea; and dizziness.
329,A Line Aircraft Maintenance Technician (AMT) reports noticing an increase in the number of loose and sheared tie-bolts on B737-800 main landing gear (MLG) tire wheel-half assemblies. He recently found one tire with five tie-bolts sheared near the smooth shank and threaded portion of the tie-bolt with all the locking nuts for the tie-bolts gone.
640,A BE-400 flight crew in IMC; cleared to climb and given a turn vector; took evasive action to avoid pop-up traffic shown by TCAS as 200 feet above them and between one and two miles away. While doing so they exceeded their assigned heading and altitude. Their TCAS provided neither TA nor RA warnings.
2479,A CRJ-200 PLT ON THE MOSEY 5 ARR TO CVG WAS ASSIGNED AN ALT BELOW THE FLOOR OF CLASS B AIRSPACE WITHOUT A PROPER SPD ASSIGNMENT.
2232,An Aircraft Maintenance Technician (AMT) describes the potentially unsafe condition that would exists if a Fire/Smoke Warning occurred in the Main Cargo Deck areas of factory built all cargo B757-200 aircraft and MEL 21-40-2 had been applied. The FAN CONT AFT CARGO Circuit Breaker (CB) would be opened and collared at the cockpit overhead panel and the aft air distribution shut-off valve would not close. No Fire Suppressant System exists in Class 'E' Cargo compartments on B757s.
1391,Beech A36 pilot reported being on approach to land after a vintage bomber and before an approaching King Air; and elected to land after being told to go-around by Tower due to the proximity of the King Air. A36 pilot cited his aircraft's speed and altitude and the probability of encountering vintage bomber's wake turbulence in disregarding the Tower's instructions.
46,A300 flight crew reported noticing smoke in the cockpit; prompting a divert to a nearby airport.
1287,Air carrier First Officer reported making a transmission on Center frequency due to a stuck mic that he regretted.
2846,A B757-200 Captain made the decision to land Flaps 20 with reported winds of 190/40G60. Later; he realized the Aircraft Operating Manual permitted Flaps 20 landings only in specific conditions and winds were apparently not included.
2330,A319 crew reported that the Captain's front window cracked at cruise altitude. The crew returned to the departure airport.
1190,A LIGHT AIRCRAFT ON APPROACH TO AN UNCONTROLLED AIRPORT MANEUVERED TO AVOID ANOTHER AIRCRAFT THAT WAS PRACTICING STALLS IN THE PATTERN.
2273,B737 flight crew reported they shut #1 engine down in descent for landing because of excessive vibration.
9,B737 WITH ZJX AT FL370 EXPERIENCED TCAS RA WITH OPPOSITE DIRECTION TFC AS CTLR ERRED IN DSCNT CLRNC ISSUANCE; RA ACTION(S) SAVED SEPARATION.
2206,A DC-9 Captain reported he was alerted by ATC during a visual approach of a low altitude deviation.
2388,Air carrier Captain reports that west bound data link clearances from Shanwick typically end somewhere in Sondrestrom airspace; with no instructions for obtaining further clearance.  Further clearance can be obtained from Reykjavik; but requires crew initiative and significant time.
880,An Airbus crew on the PHX MAIER 5 noticed they were at 6;200 FT prior to KARDS after the ALT button failed to engage VNAV and while climbing to 7;000 FT were told by ATC to maintain 7;000 FT but became confused and again began a descent after KARDS.
450,B757 flight crew reports not seeing the initial climb instructions on the GUXUN 3 departure from SKBO; limiting initial climb to 17;000 FT. A conflict is noted at FL190 along with ATC instructions and TCAS RA to descend.
1908,A Captain was informed by a Lead Flight Attendant that passengers complained their seat belts were too short on a B757-200 aircraft. After landing; company Technician noted that not only was the hardware the seat belts attach to incorrectly installed; but the seatbelts were also incorrectly positioned at the seats. Captain also raises concerns their maintenance inspection process; at some point; failed to identify and correct the discrepancies.
2348,B737 flight crew reported a 'severe' wake turbulence encounter on arrival into LAX 15 miles in trail of an A380.
410,An unidentified air carrier jet was unable to comply with a descent crossing restriction issued late by ATC. While attempting to comply the flight crew exceeded Vmo for a brief period.
1071,CRJ-900 flight crew reported receiving a Brake Over-Heat message during takeoff roll and then at random times during the flight.
99,A B737 Captain set a water can next to the steering tiller and after taxi out was unable to steer so returned to the gate where he found the water can; removed it and regained full steering control.
2460,CRJ-700 Captain reported a NMAC while descending in the vicinity of BHM.
922,A Flight Attendant reports about finding another A320 with two main cabin doors; 1L and 2L; with door pressure gauges reading low; which are a 'No-Go' item. Contract vendors performing cabin door maintenance continue to be an issue.
685,PA31 pilot reports failure of the nose gear to retract after takeoff and also to extend to the down and safe position. The flight returns to the departure airport and the 'Emergency Gear Extension' checklist is employed to successfully extend the nose gear prior to landing.
362,MD80 ACFT FILLET FAIRING SEALS AND SEAL RETAINER REPAIRS HAD BEEN ACCOMPLISHED WITHOUT PROPER IDENTIFICATION OR ENGINEERING ORDER.
719,A PHL Controller issued a very late go around in response to an ASDE-X Alarm. The reporter noted the go around may have been unsafe and not needed but mandated by ATC rules.
530,An A300 Captain's Flight Director; First Officer's Pitot Heat and #1 Pitch Trim failed in flight at the same time the FMS NAV disengaged. No annunciation or alert was given and the systems were returned to normal some time later.
1983,A pilot reported a TCAS TA alert with an aerobatic aircraft at 7;000 FT after departing IWA Runway 12 and predicts future a collision because of the increased number of such conflicts in this airspace. Aircraft on Runway 30 visual approaches conflict with traffic below 5;000 FT at about 10 miles.
2696,FRUSTRATED A320 FO VENTS OVER POOR PERFORMANCE OF GND PERSONNEL DURING A DELAYED ARR AND DEP.
2455,A CRJ200 First Officer reported reversers fail to stow after landing; causing the aircraft to be disabled on the runway.  Crew was unaware of the correct frequency to contact Operations for a tow to the gate.
2017,Air carrier First Officer reported navigation problems arose on final to BOS Runway 27 and they continued to a visual landing after ATC had cancelled their approach clearance due to traffic to Runway 33L.
2592,Bell 222 pilot briefly utilized Night Vision Goggles in an aircraft which was not modified and certified for NVG use.
18,An SF340 flight crew on a maintenance test flight failed to stop their climb at their cleared altitude when the landing gear failed to retract and they continued climbing at 100% torque and maintaining an IAS below the gear retraction speed.
1899,BE1900 Captain describes an unsafe gear indication during approach resulting in a go around. Manual pumping results in a safe gear indication and a normal landing ensues. The aircraft had a history of unsafe gear indications.
1748,A320 Captain noted the entire APU electrical generator was deferred instead of taking the time to just defer the APU electrical indication; reporting his air carrier's increased use of 'no-time' as a reason for deferrals of major systems. Captain refused aircraft until the correct deferral was applied.
1085,CRJ suffered multiple bird strikes on takeoff roll at STL.
1003,MD80 FLT CREW HAS SMOKE/FUMES IN COCKPIT AND CABIN DURING TAXI.
2059,An air carrier First Officer reported a NMAC with a drone while on short final at SEA.
919,An Aeronca Champ Instructor reported a wind gust pushed the aircraft toward the Runway's left side causing the aircraft to ground loop.
3580,A B737-500 WAS DISPATCHED WITH THE INCORRECT STANDBY PWR MODULE INSTALLED.
1532,E10 Controller reports of a situation where he is trying to get a VFR aircraft that is having icing problems and visibility problems to its destination. Aircraft enters a higher MVA than the aircraft is cleared to.
849,B737-800 flight crew reported a Right Pack failure and loss of pressurization on climb out at 12;500 feet with subsequent return to departure airport after regaining control of pressurization.
1862,MD80 CAPTAIN LAMENTS CAVALIER ATTITUDE OF CLT AIRPORT PERSONNEL WHEN A FUEL SPILL OCCURS UNDER HIS ACFT.
2306,A B737-300 HAD AN ENG DRIVEN FUEL PUMP AND MAIN ENG CTL REPLACED OFF LINE. UPGRADED TECHNICIAN SIGNED FOR REQUIRED INSPECTION.
167,A VFR aircraft was not aware of a temporary MOA along its route of flight; until advised by the ZID ARTCC Controller.
782,A departing A321 flight crew reported having to climb at a slow speed to comply with RNAV SID altitude restrictions. An in trail departing aircraft overtook the A321 casing a loss of required separation.
2165,P50 controller described TCAS RA event even though traffic; separated by 500 feet; was issued and sighted; the reporter indicating either TCAS software needs adjusting and/or the Class B modified.
818,Air carrier flight crew reported they received an EGPWS obstacle warning during a night VOR Runway 26L approach to ELP.
553,B767 RELIEF OFFICER REPORTS ELECTRICAL FUMES IN THE COCKPIT AT FL380 WITH DIVERSION.
1034,A First Officer objected to flying an aircraft with a forward galley electrical problem which the Flight Attendant alerted him about; then discovered that the Captain had known about the problem before the previous departure and chosen not to address it.
545,WHILE MANEUVERING AROUND WX AT HIGH ALT AND HIGH AMBIENT TEMPERATURE; CL65 DECELERATES AND ACTIVATES STALL WARNING. RECOVERY REQUIRES MAX THRUST AND THE LOSS OF 250 FEET OF ALT.
470,WW24 EXPERIENCES GEAR UNSAFE LIGHT ON FLT SUBSEQUENT TO BEING TOWED WITH THE NOSE GEAR PIN IN PLACE. LNDG UNDER EMER CONDITIONS NORMAL.
2171,C182 pilot reports a total electrical failure in IMC at night over mountainous terrain. With ATC assistance the reporter is able to land safely.
2017,A11 Controller described a TCAS event between an IFR air carrier departure and a VFR overflight; both with each other in sight and visual separation standards being applied; the reporter suggesting flight crews be better informed as ATC requirements.
2463,Landing in a significant crosswind after a sight seeing passenger flight; the pilot of a Stearman ground looped the aircraft and drug a wingtip on the ground while attempting to make the first turnoff less than a quarter of a mile from the threshold.
1322,An A321 Captain faced with lengthening maintenance delays; unco-operative ground personnel and short tempered passengers--whose displeasure had been catalyzed by news reports of previous conflicts between labor and management at this airline--had to have two passengers removed and debated with crew schedulers about continuing the flight after a more than eight hour delary.
1498,CITATION C525 CREW HAS FUMES IN COCKPIT AND CABIN; DECLARES AN EMER AND LANDS.
996,A CL65 Captain laments the low fuel loads that are routinely being used by dispatchers at his airline.
549,A FLT CREW TAXIED ACROSS AN ACTIVE RWY AT SFO WITHOUT CLRNC BECAUSE OF LACK OF POSITIONAL AWARENESS.
1575,B737NG FLT ATTENDANT IS INFORMED BY CO-WORKER THAT HE HAS BEEN IMPROPERLY BRIEFING THE USE OF LIFE VEST LIGHTS ON NG ACFT.
1077,Although technically legal to do so; B737-800 Captain advised ATC the flight was unable to descend 'via' the GIBBZ RNAV STAR to IAD due to a deferred FMC component and requested an alternative arrival. His decision was based on excessive flight crew workload associated with the complex RNAV STAR's multiple speed and altitude restrictions.
3060,SF340 on approach experiences multiple electrical failures. The crew requests vectors to run appropriate checklists; only for the problems to resolve themselves.
31,A B737 flight crew reported a route discontinuity due to improper preflight checks. ATC detected the track deviation and issued new clearance.
2465,BEECH BONANZA A36 PLT HAS A CONFLICT WITH ANOTHER ACFT WHILE ON APCH TO MYF.
930,Air carrier flight crew reported misunderstanding Ramp Control's taxi instructions and taxied on an active taxiway without clearance from Ground Control.
1780,A B767 CAPT REFUSED TO FLY AN ACFT WITH AN INOP APU ON AN OCEANIC FLT. THE ACR MADE THE APU AVAILABLE IN FLT IF NEEDED.
558,EMB145 Captain reports wing anti-ice failure upon entering clouds at FL190.  A request to climb to FL210 is denied by ATC.  The Captain starts climbing and informs ATC of his actions.
34,B737 First Officer describes a low fuel situation that develops after a go around due to windshear at LAS. During the second approach a windshear warning at 1;000 FT AGL is ignored by the Captain due to the low fuel situation and a safe landing ensues.
2059,A B24 FLT CREW EXPERIENCED DIRECTIONAL CONTROL DIFFICULTIES BECAUSE OF ENGINE POWER INTERRUPTION ON TAKEOFF. THE CAPTAIN REJECTED THE TAKEOFF AND REGAINED CONTROL.
2227,B737-800 flight crew experiences a rapid temperature increase of 21 degrees at FL380 causing a buffet alert and thrust reduction. Thrust is manually controlled to maintain Mach .78 and a few minutes the temperature returns to its' previous indication. After a couple of minutes the temperature increases again and the crew requests to descend to FL340 for the remainder of the flight.
2463,A Line Mechanic reports that cabin window requirements in Maintenance Manual (M/M) 56-21-01 clearly state that part numbers on B777 outer window panes are to be situated at the top position of the window. However; passenger door window replacement language in MM 56-31-01 only references the vent hole for the middle pane of the door window.
735,ZOB Controller described a loss of separation event when an improver clearance read back was not noted.
1335,Pilot reports the AWOS system at VKX includes lengthy foreign language reports which block out UNICOM frequency communications.
2032,An instructor administering a pilot's standardization check at 2;500 FT reported a near miss after a small jet passed overhead while it was under MCO TRACON radar vectors for SFB practice approaches.
1324,An Engine Shop Inspector reports about the numerous maintenance discrepancies they have been finding on their GE CF-34 engines that are returning from contracted foreign and domestic repair stations. The CF-34 engines are used on their CRJ-200 aircraft.
2238,B737 Flight Attendant reported about concern with the safety of the operation when the flight and ground crews were under pressure to get the aircraft out before they timed out.
2213,A PA32-260 was unable to lift off at rotation speed at a high density altitude and high gross weight. Takeoff was rejected. A runway excursion occurred with some damage to the wingtip and a runway light. A second takeoff attempt was successful with one passenger and some fuel removed.
1850,ZTL CONTROLLER EXPERIENCED OPERATIONAL ERROR AT FL200 WHEN FAILING TO RECOGNIZED A DEVELOPING LOSS OF SEPARATION FOLLOWING AN INCORRECT READBACK OF ASSIGNED ALTITUDE.
1478,B737 Captain reports being distracted by the new stadium display during a night visual approach to Runway 30L at SJC.
843,B747 pilot reported deviating from assigned track on his overwater flight under control of Tokyo Center when he encountered weather and Tokyo was slow to respond with a clearance to deviate.
